Zustand Uhrzeit: 10:00:00: STR 30 | EIN 0 | BAU 0 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:40:02: STR 15 | EIN 1 | BAU 0 | PAR 10 [STA 16] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:40:03: STR 15 | EIN 0 | BAU 1 | PAR 10 [STA 16] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:40:23: STR 15 | EIN 0 | BAU 0 | PAR 11 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:42:01: STR 15 | EIN 0 | BAU 0 | PAR 10 [STA 15] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:33:39: STR 15 | EIN 0 | BAU 0 | PAR 9 [STA 15] | AUS 2 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:30:02: STR 15 | EIN 0 | BAU 0 | PAR 8 [STA 15] | AUS 3 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:42:12: STR 14 | EIN 1 | BAU 0 | PAR 8 [STA 15] | AUS 3 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:42:22: STR 14 | EIN 1 | BAU 0 | PAR 8 [STA 15] | AUS 3 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:42:23: STR 14 | EIN 1 | BAU 1 | PAR 8 [STA 15] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:42:24: STR 14 | EIN 1 | BAU 2 | PAR 8 [STA 15] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:42:25: STR 14 | EIN 1 | BAU 3 | PAR 8 [STA 15] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:42:43: STR 14 | EIN 1 | BAU 2 | PAR 8 [STA 15] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:42:44: STR 14 | EIN 1 | BAU 1 | PAR 8 [STA 15] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:42:45: STR 14 | EIN 1 | BAU 0 | PAR 8 [STA 15] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:42:53: STR 14 | EIN 1 | BAU 0 | PAR 8 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:42:54: STR 14 | EIN 0 | BAU 1 | PAR 8 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:43:14: STR 14 | EIN 0 | BAU 0 | PAR 9 [STA 14] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:45:35: STR 13 | EIN 1 | BAU 0 | PAR 9 [STA 14] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:45:36: STR 13 | EIN 0 | BAU 1 | PAR 9 [STA 14] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:45:38: STR 12 | EIN 1 | BAU 1 | PAR 9 [STA 14] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:45:39: STR 12 | EIN 0 | BAU 2 | PAR 9 [STA 14] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:45:56: STR 12 | EIN 0 | BAU 1 | PAR 10 [STA 13] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:45:59: STR 12 | EIN 0 | BAU 0 | PAR 11 [STA 12] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:46:22: STR 12 | EIN 0 | BAU 0 | PAR 10 [STA 12] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:34:07: STR 12 | EIN 0 | BAU 0 | PAR 9 [STA 12] | AUS 2 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:47:03: STR 11 | EIN 1 | BAU 0 | PAR 9 [STA 12] | AUS 2 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:47:13: STR 11 | EIN 1 | BAU 0 | PAR 9 [STA 12] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:47:14: STR 11 | EIN 1 | BAU 1 | PAR 9 [STA 12] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:47:15: STR 11 | EIN 1 | BAU 2 | PAR 9 [STA 12] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:47:34: STR 11 | EIN 1 | BAU 1 | PAR 9 [STA 12] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:47:35: STR 11 | EIN 1 | BAU 0 | PAR 9 [STA 12] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:47:38: STR 10 | EIN 2 | BAU 0 | PAR 9 [STA 12] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:47:39: STR 10 | EIN 1 | BAU 1 | PAR 9 [STA 12] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:47:40: STR 10 | EIN 0 | BAU 2 | PAR 9 [STA 12] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:47:53: STR 9 | EIN 1 | BAU 2 | PAR 9 [STA 12] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:47:59: STR 9 | EIN 1 | BAU 1 | PAR 10 [STA 11] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:48:00: STR 9 | EIN 1 | BAU 0 | PAR 11 [STA 10] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:48:01: STR 9 | EIN 0 | BAU 1 | PAR 11 [STA 10] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:48:21: STR 9 | EIN 0 | BAU 0 | PAR 12 [STA 9] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:51:03: STR 8 | EIN 1 | BAU 0 | PAR 12 [STA 9] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:51:04: STR 8 | EIN 0 | BAU 1 | PAR 12 [STA 9] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:51:24: STR 8 | EIN 0 | BAU 0 | PAR 13 [STA 8] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:52:25: STR 7 | EIN 1 | BAU 0 | PAR 13 [STA 8] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:52:26: STR 7 | EIN 0 | BAU 1 | PAR 13 [STA 8] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:52:46: STR 7 | EIN 0 | BAU 0 | PAR 14 [STA 7] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:52:47: STR 7 | EIN 0 | BAU 0 | PAR 13 [STA 7] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:42:17: STR 7 | EIN 0 | BAU 0 | PAR 12 [STA 7] | AUS 2 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:37:58: STR 7 | EIN 0 | BAU 0 | PAR 11 [STA 7] | AUS 3 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:48:41: STR 7 | EIN 0 | BAU 0 | PAR 10 [STA 7] | AUS 4 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:48:51: STR 7 | EIN 0 | BAU 0 | PAR 10 [STA 7] | AUS 4 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:48:52: STR 7 | EIN 0 | BAU 1 | PAR 10 [STA 7] | AUS 3 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:48:53: STR 7 | EIN 0 | BAU 2 | PAR 10 [STA 7] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:48:54: STR 7 | EIN 0 | BAU 3 | PAR 10 [STA 7] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:48:55: STR 7 | EIN 0 | BAU 4 | PAR 10 [STA 7] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:49:12: STR 7 | EIN 0 | BAU 3 | PAR 10 [STA 7] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:49:13: STR 7 | EIN 0 | BAU 2 | PAR 10 [STA 7] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:49:14: STR 7 | EIN 0 | BAU 1 | PAR 10 [STA 7] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:49:15: STR 7 | EIN 0 | BAU 0 | PAR 10 [STA 7] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:54:20: STR 7 | EIN 0 | BAU 0 | PAR 9 [STA 7] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:54:21: STR 7 | EIN 0 | BAU 1 | PAR 9 [STA 7] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:54:41: STR 7 | EIN 0 | BAU 0 | PAR 9 [STA 7] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:54:53: STR 6 | EIN 1 | BAU 0 | PAR 9 [STA 7] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:55:33: STR 5 | EIN 2 | BAU 0 | PAR 9 [STA 7] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:55:41: STR 4 | EIN 3 | BAU 0 | PAR 9 [STA 7] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:55:42: STR 4 | EIN 2 | BAU 1 | PAR 9 [STA 7] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:55:43: STR 4 | EIN 1 | BAU 2 | PAR 9 [STA 7] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:55:44: STR 4 | EIN 0 | BAU 3 | PAR 9 [STA 7] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:56:02: STR 4 | EIN 0 | BAU 2 | PAR 10 [STA 6] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:56:03: STR 4 | EIN 0 | BAU 1 | PAR 11 [STA 5] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:56:04: STR 4 | EIN 0 | BAU 0 | PAR 12 [STA 4] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:56:20: STR 3 | EIN 1 | BAU 0 | PAR 12 [STA 4] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:56:21: STR 3 | EIN 0 | BAU 1 | PAR 12 [STA 4] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:56:41: STR 3 | EIN 0 | BAU 0 | PAR 13 [STA 3] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:57:58: STR 2 | EIN 1 | BAU 0 | PAR 13 [STA 3] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:57:59: STR 2 | EIN 0 | BAU 1 | PAR 13 [STA 3] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:58:19: STR 2 | EIN 0 | BAU 0 | PAR 14 [STA 2] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:59:08: STR 1 | EIN 1 | BAU 0 | PAR 14 [STA 2] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:59:09: STR 1 | EIN 0 | BAU 1 | PAR 14 [STA 2] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:59:29: STR 1 | EIN 0 | BAU 0 | PAR 15 [STA 1] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:59:54: STR 0 | EIN 1 | BAU 0 | PAR 15 [STA 1] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:06:49: STR 0 | EIN 1 | BAU 0 | PAR 14 [STA 1] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:01:45: STR 0 | EIN 1 | BAU 1 | PAR 13 [STA 1] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:01:46: STR 0 | EIN 1 | BAU 2 | PAR 13 [STA 1] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:01:47: STR 0 | EIN 1 | BAU 3 | PAR 13 [STA 1] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:02:03: STR 0 | EIN 1 | BAU 3 | PAR 12 [STA 1] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:02:05: STR 0 | EIN 1 | BAU 3 | PAR 12 [STA 1] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:02:06: STR 0 | EIN 1 | BAU 3 | PAR 12 [STA 1] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:02:07: STR 0 | EIN 1 | BAU 2 | PAR 12 [STA 1] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:02:25: STR 0 | EIN 1 | BAU 1 | PAR 12 [STA 1] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 11:02:26: STR 0 | EIN 1 | BAU 0 | PAR 12 [STA 1] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 11:02:35: STR 0 | EIN 1 | BAU 0 | PAR 12 [STA 1] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 11:02:36: STR 0 | EIN 0 | BAU 1 | PAR 12 [STA 1] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 11:02:56: STR 0 | EIN 0 | BAU 0 | PAR 13 [STA 0] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 11:12:53: STR 0 | EIN 0 | BAU 0 | PAR 12 [STA 0] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
